name,slug,value,date_of_information,ranking,region
"Lebanon","lebanon","$31,340,000,000","2019 est.","70","Middle East"
"Serbia","serbia","$30,150,000,000","2020 est.","71","Europe"
"Croatia","croatia","$27,590,000,000","2020 est.","72","Europe"
"Bahrain","bahrain","$27,190,000,000","2018 est.","73","Middle East"
"Ghana","ghana","$26,910,000,000","2019 est.","74","Africa"
"Sri Lanka","sri-lanka","$24,560,000,000","2019 est.","75","South Asia"
"Tunisia","tunisia","$23,420,000,000","2019 est.","76","Africa"
"Cambodia","cambodia","$23,120,000,000","2020 est.","77","East and Southeast Asia"
"Uzbekistan","uzbekistan","$22,560,000,000","2020 est.","78","Central Asia"
"Jordan","jordan","$22,040,000,000","2019 est.","79","Middle East"
"Estonia","estonia","$21,730,000,000","2020 est.","80","Europe"
"Kenya","kenya","$20,410,000,000","2019 est.","81","Africa"
"Dominican Republic","dominican-republic","$20,190,000,000","2020 est.","82","Central America and the Caribbean"
"Ethiopia","ethiopia","$19,930,000,000","2018 est.","83","Africa"
"Ecuador","ecuador","$19,890,000,000","2020 est.","84","South America"
"Latvia","latvia","$19,840,000,000","2020 est.","85","Europe"
"Costa Rica","costa-rica","$19,390,000,000","2019 est.","86","Central America and the Caribbean"
"Guatemala","guatemala","$19,300,000,000","2020 est.","87","Central America and the Caribbean"
"Libya","libya","$18,850,000,000","2018 est.","88","Africa"
"Venezuela","venezuela","$18,432,000,000","2018 est.","89","South America"
"Malta","malta","$18,010,000,000","2020 est.","90","Europe"
"Cyprus","cyprus","$17,580,000,000","2020 est.","91","Europe"
"Panama","panama","$17,410,000,000","2020 est.","92","Central America and the Caribbean"
"Burma","burma","$17,360,000,000","2019 est.","93","East and Southeast Asia"
"Macau","macau","$17,350,000,000","2019 est.","94","East and Southeast Asia"
"Azerbaijan","azerbaijan","$15,540,000,000","2020 est.","95","Middle East"
"Angola","angola","$15,120,000,000","2020 est.","96","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$14,560,000,000","2020 est.","97","Africa"
"Cote d'Ivoire","cote-divoire","$12,880,000,000","2019 est.","98","Africa"
"Honduras","honduras","$11,500,000,000","2019 est.","99","Central America and the Caribbean"
"Uruguay","uruguay","$11,290,000,000","2020 est.","100","South America"
"Cuba","cuba","$11,060,000,000","2017 est.","101","Central America and the Caribbean"
"El Salvador","el-salvador","$10,820,000,000","2020 est.","102","Central America and the Caribbean"
"Nepal","nepal","$10,680,000,000","2020 est.","103","South Asia"
"Paraguay","paraguay","$10,620,000,000","2020 est.","104","South America"
"Tanzania","tanzania","$10,360,000,000","2019 est.","105","Africa"
"Sudan","sudan","$9,790,000,000","2019 est.","106","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$9,710,000,000","2020 est.","107","Europe"
"Uganda","uganda","$9,540,000,000","2019 est.","108","Africa"
"West Bank","west-bank","$9,150,000,000","2019 est.","109","Middle East"
"Cameroon","cameroon","$9,090,000,000","2019 est.","110","Africa"
"Senegal","senegal","$8,960,000,000","2018 est.","111","Africa"
"Georgia","georgia","$8,940,000,000","2020 est.","112","Middle East"
"North Macedonia","north-macedonia","$8,760,000,000","2020 est.","113","Europe"
"Gaza Strip","gaza-strip","$8,590,000,000","2018 est.","114","Middle East"
"Mozambique","mozambique","$8,380,000,000","2020 est.","115","Africa"
"Bolivia","bolivia","$8,270,000,000","2020 est.","116","South America"
"Jamaica","jamaica","$8,250,000,000","2019 est.","117","Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","$7,930,000,000","2019 est.","118","Central America and the Caribbean"
"Iceland","iceland","$7,550,000,000","2020 est.","119","Europe"
"Laos","laos","$7,520,000,000","2019 est.","120","East and Southeast Asia"
"Botswana","botswana","$7,440,000,000","2019 est.","121","Africa"
"Mauritius","mauritius","$7,410,000,000","2019 est.","122","Africa"
"Mongolia","mongolia","$7,340,000,000","2020 est.","123","East and Southeast Asia"
"Zimbabwe","zimbabwe","$7,215,000,000","2018 est.","124","Africa"
"Afghanistan","afghanistan","$6,980,000,000","2020 est.","125","South Asia"
"Brunei","brunei","$6,810,000,000","2019 est.","126","East and Southeast Asia"
"Syria","syria","$6,279,000,000","2017 est.","127","Middle East"
"Equatorial Guinea","equatorial-guinea","$6,245,000,000","2019 est.","128","Africa"
"Mali","mali","$6,080,000,000","2018 est.","129","Africa"
"Nicaragua","nicaragua","$5,940,000,000","2020 est.","130","Central America and the Caribbean"
"Moldova","moldova","$5,930,000,000","2020 est.","131","Europe"
"Zambia","zambia","$5,920,000,000","2020 est.","132","Africa"
"Albania","albania","$5,670,000,000","2020 est.","133","Europe"
"Kyrgyzstan","kyrgyzstan","$5,670,000,000","2019 est.","134","Central Asia"
"Haiti","haiti","$5,210,000,000","2019 est.","135","Central America and the Caribbean"
"Burkina Faso","burkina-faso","$5,020,000,000","2019 est.","136","Africa"
"Gabon","gabon","$5,020,000,000","2019 est.","137","Africa"
"Armenia","armenia","$5,000,000,000","2020 est.","138","Middle East"
"Papua New Guinea","papua-new-guinea","$4,840,000,000","2018 est.","139","East and Southeast Asia"
"Djibouti","djibouti","$4,760,000,000","2019 est.","140","Africa"
"Palau","palau","$4,715,000,000","2018 est.","141","Australia and Oceania"
"Madagascar","madagascar","$4,700,000,000","2019 est.","142","Africa"
"Turkmenistan","turkmenistan","$4,571,000,000","2017 est.","143","Central Asia"
"Namibia","namibia","$4,540,000,000","2020 est.","144","Africa"
"Guinea","guinea","$4,320,000,000","2019 est.","145","Africa"
"Benin","benin","$4,310,000,000","2019 est.","146","Africa"
"Kosovo","kosovo","$4,190,000,000","2020 est.","147","Europe"
"Maldives","maldives","$4,090,000,000","2019 est.","148","South Asia"
"Yemen","yemen","$4,079,000,000","2017 est.","149","Middle East"
"Guyana","guyana","$4,000,000,000","2019 est.","150","South America"
"Rwanda","rwanda","$3,740,000,000","2019 est.","151","Africa"
"Mauritania","mauritania","$3,680,000,000","2019 est.","152","Africa"
"Bahamas, The","bahamas-the","$3,640,000,000","2020 est.","153","Central America and the Caribbean"
"Niger","niger","$3,400,000,000","2019 est.","154","Africa"
"Malawi","malawi","$3,200,000,000","2019 est.","155","Africa"
"Tajikistan","tajikistan","$3,130,000,000","2020 est.","156","Central Asia"
"South Sudan","south-sudan","$3,070,000,000","2019 est.","157","Africa"
"Gibraltar","gibraltar","$2,967,000,000","2004 est.","158","Europe"
"Guam","guam","$2,964,000,000","2016 est.","159","Australia and Oceania"
"Montenegro","montenegro","$2,900,000,000","2020 est.","160","Europe"
"New Caledonia","new-caledonia","$2,715,000,000","2015 est.","161","Australia and Oceania"
"Cayman Islands","cayman-islands","$2,700,000,000","2019 est.","162","Central America and the Caribbean"
"San Marino","san-marino","$2,551,000,000","2011 est.","163","Europe"
"Congo, Republic of the","congo-republic-of-the","$2,501,000,000","2017 est.","164","Africa"
"Virgin Islands","virgin-islands","$2,489,000,000","2016 est.","165","Central America and the Caribbean"
"Suriname","suriname","$2,410,000,000","2019 est.","166","South America"
"Curacao","curacao","$2,330,000,000","2019 est.","167","Central America and the Caribbean"
"Korea, North","korea-north","$2,320,000,000","2018 est.","168","East and Southeast Asia"
"Togo","togo","$2,260,000,000","2019 est.","169","Africa"
"French Polynesia","french-polynesia","$2,235,000,000","2014 est.","170","Australia and Oceania"
"Bermuda","bermuda","$2,230,000,000","2019 est.","171","North America"
"Liechtenstein","liechtenstein","$2,230,000,000","2014 est.","172","Europe"
"Chad","chad","$2,160,000,000","2017 est.","173","Africa"
"Fiji","fiji","$1,970,000,000","2020 est.","174","Australia and Oceania"
"Lesotho","lesotho","$1,960,000,000","2020 est.","175","Africa"
"Sierra Leone","sierra-leone","$1,820,000,000","2019 est.","176","Africa"
"Eswatini","eswatini","$1,700,000,000","2020 est.","177","Africa"
"Aruba","aruba","$1,670,000,000","2020 est.","178","Central America and the Caribbean"
"Barbados","barbados","$1,520,000,000","2017 est.","179","Central America and the Caribbean"
"Monaco","monaco","$1,371,000,000","2017 est.","180","Europe"
"Seychelles","seychelles","$1,350,000,000","2020 est.","181","Africa"
"Andorra","andorra","$1,257,000,000","2015 est.","182","Europe"
"Liberia","liberia","$1,240,000,000","2019 est.","183","Africa"
"Sint Maarten","sint-maarten","$1,230,000,000","2019 est.","184","Central America and the Caribbean"
"Bhutan","bhutan","$1,190,000,000","2020 est.","185","South Asia"
"Eritrea","eritrea","$1,127,000,000","2017 est.","186","Africa"
"Antigua and Barbuda","antigua-and-barbuda","$1,120,000,000","2018 est.","187","Central America and the Caribbean"
"Cabo Verde","cabo-verde","$1,020,000,000","2020 est.","188","Africa"
"Saint Lucia","saint-lucia","$1,000,000,000","2018 est.","189","Central America and the Caribbean"
"Faroe Islands","faroe-islands","$978,400,000","2016 est.","190","Europe"
"Burundi","burundi","$910,000,000","2018 est.","191","Africa"
"Belize","belize","$900,000,000","2020 est.","192","Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","$893,000,000","2016 est.","193","Australia and Oceania"
"Timor-Leste","timor-leste","$850,000,000","2020 est.","194","East and Southeast Asia"
"Greenland","greenland","$783,500,000","2015 est.","195","North America"
"Grenada","grenada","$640,000,000","2018 est.","196","Central America and the Caribbean"
"Gambia, The","gambia-the","$620,000,000","2018 est.","197","Africa"
"American Samoa","american-samoa","$615,000,000","2016 est.","198","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$590,000,000","2018 est.","199","Central America and the Caribbean"
"Solomon Islands","solomon-islands","$560,000,000","2020 est.","200","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","$540,000,000","2018 est.","201","Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","$500,000,000","2019 est.","202","Africa"
"Vanuatu","vanuatu","$460,000,000","2019 est.","203","Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$450,000,000","2018 est.","204","Central America and the Caribbean"
"Dominica","dominica","$430,000,000","2018 est.","205","Central America and the Caribbean"
"Samoa","samoa","$430,000,000","2018 est.","206","Australia and Oceania"
"Central African Republic","central-african-republic","$393,100,000","2017 est.","207","Africa"
"Comoros","comoros","$350,000,000","2019 est.","208","Africa"
"British Virgin Islands","british-virgin-islands","$300,000,000","2017 est.","209","Central America and the Caribbean"
"Tonga","tonga","$300,000,000","2020 est.","210","Australia and Oceania"
"Anguilla","anguilla","$186,200,000","2017 est.","211","Central America and the Caribbean"
"Kiribati","kiribati","$180,000,000","2019 est.","212","Australia and Oceania"
"Marshall Islands","marshall-islands","$170,000,000","2018 est.","213","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","$167,800,000","2015 est.","214","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$160,000,000","2020 est.","215","Africa"
"Cook Islands","cook-islands","$109,300,000","2011 est.","216","Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$95,350,000","2010 est.","217","North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$90,000,000","2004 est.","218","South America"
"Nauru","nauru","$90,000,000","2018 est.","219","Australia and Oceania"
"Tuvalu","tuvalu","$70,000,000","2019 est.","220","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","$61,170,000","2004 est.","221","Australia and Oceania"
"Montserrat","montserrat","$39,440,000","2017 est.","222","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$20,530,000","2010 est.","223","Africa"
"Tokelau","tokelau","$15,792,720","2015 est.","224","Australia and Oceania"
"Niue","niue","$9,038,000","2004 est.","225","Australia and Oceania"
